round,distill_loss,hr,hdcg
34,0.0029094167814037062,0.2545068928950159,0.12743629374805174
35,0.001962048516315917,0.2576882290562036,0.12860998804730658
36,0.002522284382257567,0.24390243902439024,0.1205046771284011
37,0.002125500506735989,0.23223753976670203,0.1221450883821892
38,0.001826576089297305,0.2651113467656416,0.1422497017825048
39,0.0011414527038141387,0.2682926829268293,0.14226849129464428
40,0.0022385888912140215,0.25556733828207845,0.13753351556167426
41,0.0011342641400915454,0.24708377518557795,0.1315600239935304
42,0.002559269332459735,0.2576882290562036,0.1347503097317178
43,0.0017867119014908894,0.28207847295864263,0.1491464615152907
44,0.002242365029746907,0.25556733828207845,0.14668222870789555
45,0.0014009857390192338,0.2735949098621421,0.15756448920212646
46,0.0011331277456065436,0.2417815482502651,0.1427114276974541
47,0.001954141987425828,0.2576882290562036,0.14739639095414558
48,0.00233580999752121,0.256627783669141,0.14960022877301216
49,0.0016390135345545787,0.2979851537645811,0.16636827848554095
50,0.0014477150467342881,0.31601272534464475,0.18229631163165697
51,0.0010611839191369654,0.3107104984093319,0.17910679915919442
52,0.0021909704076279015,0.2990455991516437,0.17153505441315375
53,0.0014667150339846557,0.2863202545068929,0.15592550657097642
54,0.0014177963092947721,0.30010604453870626,0.17185035435309298
55,0.0018776559658590485,0.32025450689289503,0.18051513371268804
56,0.0015100020722627506,0.33085896076352067,0.1912830749386464
57,0.0011200518001714954,0.2979851537645811,0.1723406583213355
58,0.0011299725676508388,0.32237539766702017,0.18531738396338196
59,0.0010242758643471462,0.3372216330858961,0.19599482140916838
60,0.0007111462015018333,0.3329798515376458,0.19452101956338638
61,0.0012744502747523256,0.33828207847295866,0.19615371746581572
62,0.0013335235611521058,0.3488865323435843,0.20466007542724685
63,0.0015901178480362433,0.3266171792152704,0.20083531048048123
64,0.0013338981918366243,0.33934252386002123,0.20056838930262644
65,0.0013596269246647808,0.32873806998939553,0.20056862452582186
66,0.0006237070098904951,0.2863202545068929,0.16891244175291822
67,0.0008823977510928671,0.2767762460233298,0.1555352743116696
68,0.0022905115509274767,0.30116648992576883,0.17622460335281498
69,0.0014344471503591194,0.30328738069989397,0.1690890969781073
70,0.0012472532539618442,0.29692470837751855,0.162873784667533
71,0.0015618101568179554,0.29056203605514314,0.1669755973518581
72,0.0013795969097827765,0.3181336161187699,0.17943341763374088
73,0.001393302708925148,0.31919406150583246,0.18002526628827956
